year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2014,2133.72271,2,1,1,4,4,1,4,5,3,1,4,1,2,0,1,2,1,1,1,2,3
2014,2133.72271,2,1,1,4,4,1,4,5,3,1,4,1,2,0,1,4,2,1,1,2,3
2014,2843.68821,2,1,2,1,7,2,7,1,3,2,4,1,2,0,1,2,1,0,0,2,3
2014,3164.23078,1,2,2,2,3,1,88,1,3,2,3,1,2,0,1,4,2,1,2,2,2
2014,1069.69882,1,1,2,1,8,3,3,1,4,1,2,2,2,0,1,4,2,0,0,2,1
2014,1069.69882,1,1,2,1,8,3,3,1,4,1,2,2,2,0,1,2,1,0,0,2,1
2014,2948.04304,2,1,2,1,7,2,88,0,1,2,2,1,2,0,1,4,2,0,0,2,1
2014,2948.04304,2,1,2,1,7,2,88,0,1,2,2,2,2,0,1,4,2,0,0,2,5
2014,2064.87824,2,1,2,1,1,1,6,1,4,2,4,2,1,2,1,3,1,0,0,2,3
2014,2635.78116,2,1,2,1,7,2,3,3,3,1,3,1,2,0,1,4,2,0,0,2,1
2014,2635.78116,2,1,2,1,7,2,3,3,3,1,3,1,2,0,1,4,2,0,0,2,1
2014,1405.10058,1,1,1,4,6,4,2,1,4,1,3,1,2,0,1,4,2,1,2,2,2
2014,1405.10058,1,1,1,4,6,4,2,1,4,1,3,1,1,3,1,3,1,1,2,2,2
2014,1464.79367,1,1,2,1,7,2,6,1,4,2,6,1,1,3,1,3,1,0,0,2,3
2014,2110.91055,2,1,2,1,7,4,7,0,4,2,3,2,2,0,1,4,2,0,0,2,3
2014,1451.67676,2,1,1,4,6,2,6,1,3,2,4,1,2,0,1,4,2,0,0,2,1
2014,1451.67676,2,1,1,4,6,2,6,1,3,2,4,1,2,0,1,4,2,0,0,2,1
2014,3904.30334,1,1,2,1,7,2,7,0,1,2,2,2,2,0,1,4,2,0,0,2,1
2014,1300.88414,2,1,2,1,6,2,7,1,3,3,2,1,2,0,1,4,2,0,0,2,3
2014,1492.35939,2,1,2,1,7,4,6,0,4,2,4,2,3,5,1,4,2,0,0,2,3
2014,1702.49653,1,1,2,1,6,1,5,0,2,2,1,1,2,0,1,4,2,1,1,2,3
2014,1371.19219,2,1,2,1,7,4,1,1,3,2,4,2,2,0,1,2,1,0,0,1,3
2014,1885.30613,2,1,2,1,5,2,7,4,1,1,3,2,2,0,1,4,2,0,0,1,4
2014,2082.98425,1,2,2,2,6,2,4,2,3,1,3,2,1,2,1,3,1,1,1,2,2
2014,2548.85716,2,2,2,2,3,1,4,2,3,1,1,2,1,3,1,3,1,1,1,2,2
2014,1541.40947,2,1,2,1,5,4,2,2,3,1,4,2,2,0,1,4,2,0,0,2,5
2014,1610.19676,1,1,2,1,7,2,5,0,2,2,3,3,2,0,1,4,2,0,0,2,3
2014,1494.72592,1,1,2,1,7,2,88,3,2,1,4,2,1,2,1,2,1,0,0,2,3
2014,2100.03955,1,2,2,2,5,5,4,4,3,1,3,2,1,2,1,3,1,0,0,2,2
2014,2100.03955,1,2,2,2,5,5,4,4,3,1,3,2,2,0,1,4,2,0,0,2,3
2014,1642.46854,2,1,2,1,5,2,7,1,3,2,4,1,1,3,1,3,1,0,0,,3
2014,1423.13885,1,1,2,1,6,4,2,1,3,3,4,2,2,0,1,4,2,0,0,2,2
2014,1486.30099,2,1,1,4,5,5,88,1,2,2,1,1,1,2,1,3,1,1,2,2,2
2014,1677.88263,1,1,2,1,6,1,7,3,2,1,4,2,1,2,1,2,1,0,0,2,1
2014,3309.23014,1,3,2,3,5,2,6,4,4,1,4,2,2,0,1,4,2,0,0,2,3
2014,5016.16743,1,1,2,1,4,1,3,3,4,1,3,2,1,2,1,3,1,0,0,2,3
2014,3698.14711,1,1,1,4,6,4,88,1,4,2,4,1,1,3,1,3,1,1,1,2,1
2014,3484.00347,2,1,2,1,5,1,3,0,3,3,4,2,1,1,1,2,1,0,0,2,1
2014,2853.97197,1,1,2,1,7,4,88,1,4,3,4,1,2,0,1,4,2,0,0,2,1
2014,3441.431,2,1,1,4,7,2,4,2,4,2,3,2,2,0,1,4,2,0,0,2,4
2014,3031.88672,1,1,2,1,7,2,7,1,1,2,3,2,2,0,1,4,2,0,0,2,5
2014,1424.26779,1,1,2,1,7,4,5,0,2,3,3,1,1,3,1,3,1,0,0,2,1
2014,2115.7514,1,1,2,1,5,1,5,0,2,3,3,1,1,3,1,3,1,1,1,2,1
2014,20135.6817,1,2,2,2,7,4,5,1,3,3,3,2,2,0,1,4,2,0,0,2,5
2014,12081.40902,1,2,2,2,7,4,5,1,3,3,3,2,1,2,1,3,1,0,0,2,5
2014,1373.84692,1,1,2,1,7,2,3,0,3,3,2,2,2,0,1,4,2,0,0,2,1
2014,1373.84692,1,1,2,1,7,2,3,0,3,3,2,1,1,3,1,3,1,1,1,2,1
2014,1604.4404,2,1,1,4,6,1,3,2,4,2,1,1,2,0,1,4,2,0,0,2,3
2014,2335.42151,1,2,1,4,6,1,2,2,4,1,4,2,1,1,1,3,1,0,0,2,1
2014,1826.11498,1,3,2,3,5,1,6,1,4,2,4,2,2,0,1,4,2,0,0,2,3
2014,1625.48402,2,1,2,1,6,1,4,1,1,3,3,1,2,0,1,4,2,0,0,2,1
2014,2700.62432,1,1,2,1,2,1,4,1,1,3,3,1,2,0,1,4,2,0,0,2,1
2014,1700.82874,1,1,2,1,1,1,3,1,2,3,3,3,2,0,1,4,2,1,1,2,4
2014,1795.50612,2,2,2,2,1,1,7,1,2,2,4,2,2,0,1,4,2,0,0,2,4
2014,1709.41757,2,2,2,2,6,5,88,2,4,2,4,2,2,0,1,4,2,0,0,2,5
2014,1562.35714,2,1,1,4,5,5,88,1,1,2,1,2,2,0,1,4,2,0,0,2,1
2014,1562.35714,2,1,1,4,5,5,88,1,1,2,1,2,2,0,1,4,2,1,1,2,1
2014,1562.35714,2,1,1,4,5,5,88,1,1,2,1,2,2,0,1,4,2,1,1,2,1
2014,1584.70463,2,3,2,3,5,2,7,5,1,1,4,1,3,5,2,5,3,0,0,2,3
2014,5617.05949,1,1,2,1,5,2,88,5,1,1,3,1,1,1,1,3,1,0,0,2,2
2014,1214.61655,2,1,2,1,7,4,3,5,3,1,3,1,2,0,1,2,1,0,0,2,1
2014,4440.35687,1,1,1,4,5,1,7,1,4,1,3,1,2,0,1,4,2,0,0,,1
2014,1530.50321,2,1,1,4,5,2,88,1,4,2,3,2,2,0,1,4,2,0,0,2,1
2014,3627.63308,2,1,2,1,4,1,88,1,4,1,4,2,2,0,1,4,2,0,0,2,3
2014,1612.84515,1,1,1,4,6,1,7,1,4,2,6,2,3,5,2,5,3,0,0,2,3
2014,1314.77795,2,3,2,3,6,4,3,1,4,1,4,1,1,3,1,3,1,0,0,2,1
2014,2890.56583,2,2,2,2,5,1,88,2,3,1,6,1,2,0,1,4,2,0,0,2,3
2014,2632.29632,2,2,2,2,5,1,6,3,4,1,4,2,2,0,1,4,2,1,1,2,3
2014,3797.72444,1,2,2,2,6,1,4,1,4,2,4,1,3,5,1,4,2,1,1,2,5
2014,3179.30526,1,1,2,1,6,1,7,2,4,1,4,2,2,0,1,4,2,0,0,2,3
2014,3179.30526,1,1,2,1,6,1,7,2,4,1,4,2,2,0,1,4,2,0,0,2,3
2014,3031.88672,1,1,2,1,7,2,7,1,1,2,3,2,2,0,1,4,2,0,0,2,5
2014,5020.96776,1,2,2,2,5,2,7,2,4,2,4,1,2,0,1,4,2,1,1,2,5
2014,5020.96776,1,2,2,2,5,2,7,2,4,2,4,1,2,0,1,4,2,1,1,2,5
2014,5020.96776,1,2,2,2,5,2,7,2,4,2,4,1,2,0,1,4,2,1,1,2,5
2014,3896.97587,2,1,2,1,1,1,7,1,4,3,3,1,2,0,1,4,2,0,0,2,4
2014,4342.05302,1,3,2,3,3,2,88,0,4,2,5,1,2,0,1,4,2,0,0,2,3
2014,3482.40018,1,1,1,4,6,2,5,5,4,1,4,1,1,2,1,3,1,0,0,2,1
2014,5002.80822,1,3,2,3,5,4,7,1,4,2,4,2,2,0,1,4,2,0,0,2,5
2014,4841.22679,1,1,1,4,3,1,3,3,4,1,4,1,1,1,1,2,1,1,1,2,2
2014,2689.29865,1,1,1,4,6,2,7,0,4,2,6,1,2,0,1,4,2,0,0,2,3
2014,3214.14406,1,1,2,1,5,1,7,4,4,1,2,2,1,1,1,3,1,1,2,2,5
2014,3366.53043,2,1,2,1,5,2,88,5,2,1,4,1,2,0,2,5,3,0,0,2,3
2014,3213.28078,1,1,1,4,6,4,5,1,3,2,4,1,2,0,2,5,3,0,0,2,3
2014,3485.97683,2,1,2,1,3,1,88,0,3,2,2,1,2,0,1,4,2,0,0,2,1
2014,3969.84376,2,2,2,2,5,1,4,0,3,2,4,1,1,1,1,3,1,0,0,2,3
2014,3814.84691,2,1,2,1,6,1,7,1,1,2,3,2,2,0,1,4,2,0,0,2,4
2014,3814.84691,2,1,2,1,6,1,7,1,1,2,3,2,2,0,1,4,2,0,0,2,4
2014,4604.2514,1,1,2,1,3,1,4,1,3,3,4,2,2,0,2,5,3,0,0,2,3
2014,3518.60311,2,1,2,1,6,2,5,1,4,2,3,1,1,1,1,3,1,0,0,2,1
2014,4426.88977,2,2,2,2,3,1,1,1,3,3,3,1,1,1,1,3,1,0,0,2,3
2014,3124.84918,2,1,2,1,7,4,88,1,1,2,3,2,2,0,1,4,2,0,0,2,1
2014,3016.45066,1,1,1,4,6,1,2,5,3,1,4,1,1,1,1,2,1,1,2,1,3
2014,4462.31494,1,1,1,4,5,1,2,5,3,1,4,1,1,1,1,2,1,1,2,2,1
2014,3596.16399,2,1,2,1,4,2,5,5,3,1,1,1,2,0,1,4,2,1,1,1,1
2014,4607.0043,1,1,1,4,3,1,7,3,4,1,2,1,2,0,1,4,2,0,0,2,1
2014,4148.65921,2,1,1,4,1,1,88,1,4,2,3,2,2,0,1,4,2,0,0,2,4
2014,4148.65921,2,1,1,4,1,1,88,1,4,2,3,2,2,0,1,4,2,0,0,2,4
2014,17801.7411,2,1,2,1,7,2,3,1,3,2,1,1,2,0,1,3,1,1,2,2,1
2014,5664.54659,1,1,2,1,3,1,7,1,4,2,4,1,1,1,1,3,1,0,0,2,3
2014,5664.54659,1,1,2,1,3,1,7,1,4,2,4,1,1,2,1,3,1,1,1,2,3
2014,2758.90382,1,3,2,3,7,2,4,1,4,2,4,1,2,0,1,4,2,0,0,2,1
2014,2758.90382,1,3,2,3,7,2,4,1,4,2,4,1,1,4,1,3,1,0,0,2,1
2014,2337.31021,2,1,2,1,8,4,7,0,3,3,6,1,3,5,2,5,3,0,0,2,3
2014,2259.06515,2,2,2,2,8,5,2,4,2,1,3,1,2,0,1,4,2,0,0,2,1
2014,1280.11323,2,1,2,1,5,1,88,1,2,3,1,2,2,0,1,4,2,1,2,2,1
2014,14449.2787,2,1,2,1,7,4,88,3,2,1,3,1,2,0,1,4,2,0,0,2,1
2014,4158.7132,2,1,1,4,2,1,6,1,3,2,4,2,2,0,1,2,1,0,0,2,3
2014,4782.31049,1,3,2,3,4,1,6,1,2,2,4,1,1,3,1,2,1,1,2,2,3
2014,2877.48914,1,1,2,1,7,1,1,1,3,2,4,2,2,0,1,4,2,0,0,2,3
2014,3361.18902,1,1,1,4,6,2,5,5,2,1,4,1,1,1,1,2,1,0,0,2,3
2014,3181.81116,2,1,2,1,1,1,4,1,3,3,3,1,3,5,1,4,2,0,0,1,4
2014,1461.81361,1,1,2,1,6,2,7,1,4,3,3,1,2,0,1,4,2,0,0,2,2
2014,1198.77344,2,1,2,1,8,3,4,2,4,1,6,1,2,0,1,4,2,0,0,2,3
2014,1695.98654,2,1,2,1,6,3,1,1,4,2,4,1,2,0,1,4,2,1,1,2,1
2014,1321.21449,2,1,2,1,7,2,7,1,4,2,4,1,3,5,1,1,1,0,0,2,3
2014,1633.08743,2,1,1,4,4,1,88,3,4,1,4,2,2,0,1,1,1,1,1,2,3
2014,1857.14564,2,1,2,1,5,1,1,1,4,2,4,2,2,0,1,1,1,0,0,2,3
2014,1023.48039,1,1,2,1,8,2,3,2,4,1,5,1,2,0,1,4,2,0,0,2,1
2014,1504.39589,1,1,2,1,7,2,88,1,4,2,3,2,2,0,1,4,2,0,0,2,3
2014,4105.35417,1,1,2,1,6,3,7,0,4,2,4,2,2,0,1,4,2,0,0,2,4
2014,4105.35417,1,1,2,1,6,3,7,0,4,2,4,2,2,0,1,4,2,0,0,2,4
2014,1368.84265,2,1,2,1,6,5,7,1,4,2,1,1,2,0,1,4,2,1,1,2,1
2014,1461.87608,2,1,2,1,6,2,6,1,4,3,3,1,2,0,1,4,2,1,2,2,1
2014,2944.12904,2,1,2,1,8,3,88,3,4,1,6,2,1,3,1,3,1,1,2,2,3
2014,1405.20634,2,1,2,1,6,1,7,1,4,2,4,2,2,0,1,4,2,0,0,2,3
2014,1344.07134,2,1,2,1,5,4,7,4,4,1,1,1,2,0,1,4,2,1,2,2,2
2014,1523.04815,2,1,1,4,4,2,4,5,4,1,4,1,2,0,1,4,2,0,0,2,1
2014,2088.45769,2,1,2,1,6,88,7,4,4,1,4,1,2,0,1,1,1,0,0,2,2
2014,1527.03314,1,2,2,2,6,2,6,1,3,2,4,2,1,4,1,3,1,0,0,2,3
2014,1317.85817,2,1,2,1,7,3,5,1,3,2,3,2,3,5,1,4,2,0,0,2,1
2014,1317.85817,2,1,2,1,7,3,5,1,3,2,3,2,2,0,1,4,2,0,0,2,1
2014,2865.62827,2,1,2,1,8,3,3,0,3,2,6,1,1,3,1,3,1,0,0,2,1
2014,3525.30942,1,1,2,1,7,2,7,0,2,2,4,1,1,3,1,3,1,0,0,2,1
2014,4134.54699,2,1,2,1,2,1,6,1,2,1,2,1,2,0,1,4,2,1,1,2,1
2014,3463.37805,1,1,2,1,7,2,6,1,2,2,3,2,2,0,1,4,2,0,0,2,3
2014,3947.21551,2,1,1,4,4,5,6,2,3,1,4,2,1,3,1,3,1,0,0,2,3
2014,17217.69798,2,1,2,1,7,2,5,0,3,2,5,1,1,1,1,3,1,0,0,1,1
2014,2829.19219,1,1,2,1,8,2,7,1,4,2,4,2,2,0,1,4,2,0,0,2,3
2014,3038.61239,2,1,2,1,7,2,6,4,2,1,4,1,1,1,1,2,1,0,0,1,3
2014,3827.94004,2,1,2,1,4,1,3,4,2,1,4,1,2,0,1,2,1,1,2,2,3
2014,2577.61632,1,1,2,1,8,2,4,1,2,1,2,2,2,0,1,4,2,0,0,2,1
2014,2577.61632,1,1,2,1,8,2,4,1,2,1,2,2,2,0,1,4,2,0,0,2,1
2014,3148.62212,1,2,2,2,8,4,88,1,3,2,3,1,2,0,1,4,2,0,0,2,3
2014,2864.65276,1,1,2,1,7,5,7,1,2,2,1,1,2,0,1,4,2,0,0,2,1
2014,3067.41936,2,1,2,1,5,1,88,1,3,2,1,2,2,0,1,4,2,0,0,2,1
2014,34725.9334,2,1,2,1,6,4,88,0,4,2,1,2,1,3,1,3,1,1,,2,1
2014,3203.87447,2,2,2,2,7,4,7,5,2,1,2,1,2,0,1,3,1,1,2,1,2
2014,4141.54254,1,3,1,4,2,1,7,5,2,1,4,1,3,5,1,2,1,0,0,2,3
2014,4332.24558,2,2,2,2,4,1,88,0,3,2,4,1,3,5,1,1,1,0,0,2,1
2014,4332.24558,2,2,2,2,4,1,88,0,3,2,4,2,3,5,1,1,1,0,0,2,1
2014,4332.24558,2,2,2,2,4,1,88,0,3,2,4,2,3,5,1,1,1,0,0,2,1
2014,4332.24558,2,2,2,2,4,1,88,0,3,2,4,2,3,5,1,1,1,0,0,2,1
2014,4332.24558,2,2,2,2,4,1,88,0,3,2,4,2,3,5,1,1,1,0,0,2,1
2014,3799.45439,1,1,2,1,5,4,4,2,2,1,4,1,1,2,1,3,1,0,0,2,1
2014,3799.45439,1,1,2,1,5,4,4,2,2,1,4,2,2,0,1,4,2,0,0,2,1
2014,3581.95706,1,1,2,1,6,1,88,4,2,1,3,2,2,0,1,4,2,0,0,2,1
2014,2817.82603,2,1,1,4,6,2,7,0,3,2,4,1,1,1,1,3,1,0,0,2,5
2014,3578.53342,1,1,2,1,1,1,3,1,4,3,3,2,2,0,1,4,2,0,0,2,4
2014,3103.84506,2,1,1,4,6,1,88,4,4,1,4,1,2,0,1,2,1,0,0,2,1
2014,3789.21458,1,1,2,1,4,1,7,0,4,2,4,2,2,0,1,2,1,0,0,2,3
2014,3349.77162,1,1,2,1,5,1,6,1,1,2,4,1,1,3,1,2,1,1,2,2,3
2014,2828.23753,1,1,2,1,7,2,7,4,3,1,4,1,1,2,1,3,1,0,0,2,1
2014,3559.26574,1,2,2,2,7,2,88,4,3,1,4,2,2,0,1,1,1,0,0,2,3
2014,30789.4259,1,1,2,1,6,2,7,1,3,2,4,2,2,0,1,4,2,0,0,2,5
2014,4075.62424,1,1,2,1,1,1,7,0,2,2,3,2,1,3,1,3,1,0,0,2,1
2014,2469.78003,2,1,2,1,7,2,6,0,2,3,4,2,1,2,1,3,1,0,0,2,3
2014,2952.61371,2,1,2,1,6,2,7,3,3,1,4,2,2,0,1,1,1,0,0,2,3
2014,2902.9105,1,1,1,4,5,4,4,0,2,3,1,1,1,2,1,3,1,0,0,2,1
2014,3330.75568,2,1,2,1,5,1,3,1,2,3,4,2,2,0,1,4,2,0,0,2,3
2014,2434.68716,1,1,2,1,7,2,6,0,2,3,4,2,3,5,1,4,2,0,0,2,3
2014,3814.32767,2,1,2,1,5,2,2,1,1,1,4,1,2,0,1,4,2,0,0,2,3
2014,3055.3633,1,1,2,1,6,2,88,3,3,1,3,1,2,0,1,4,2,0,0,2,4
2014,2699.64977,2,2,2,2,8,3,1,4,3,1,2,1,2,0,1,4,2,1,1,2,1
2014,3446.81524,1,1,2,1,7,4,5,1,4,2,4,1,3,5,1,4,2,0,0,2,3
2014,3603.86271,1,1,1,4,5,2,6,5,3,1,5,2,2,0,1,4,2,0,0,2,3
2014,3367.83306,1,1,2,1,7,2,5,1,4,2,3,1,2,0,1,4,2,0,0,,1
2014,24494.41384,2,1,2,1,7,2,5,1,4,1,4,1,1,3,1,3,1,0,0,2,1
2014,3824.57469,2,2,2,2,5,1,2,0,3,2,3,1,1,1,1,3,1,0,0,,3
2014,4678.08574,1,1,1,4,6,1,5,5,3,1,4,2,2,0,1,4,2,1,1,2,3
2014,4381.85823,1,1,2,1,6,1,5,5,3,1,4,2,1,3,1,2,1,1,2,2,1
2014,4958.49419,2,1,1,4,2,1,88,1,3,2,5,2,2,0,1,4,2,0,0,2,4
2014,2877.26453,2,1,2,1,5,1,4,1,3,2,4,1,3,5,1,1,1,1,2,2,2
2014,4079.93354,1,1,1,4,4,1,88,1,3,2,4,2,1,3,1,3,1,1,1,2,3
2014,5984.1192,2,2,2,2,4,1,88,0,3,2,4,1,1,1,1,3,1,0,0,2,2
2014,3271.83776,1,1,1,4,6,2,4,1,3,2,4,2,1,3,1,3,1,0,0,2,5
2014,3402.25583,1,1,2,1,6,1,88,1,3,2,4,1,2,0,1,4,2,1,1,,1
2014,2631.50964,2,1,2,1,8,3,88,1,3,2,5,1,1,1,1,2,1,1,2,2,1
2014,2492.88994,2,1,2,1,6,2,88,0,2,3,2,1,2,0,1,4,2,0,0,2,5
2014,2492.88994,2,1,2,1,6,2,88,0,2,3,2,1,2,0,1,4,2,0,0,2,5
2014,3218.24231,2,3,2,3,6,4,88,1,2,1,3,1,2,0,1,4,2,0,0,2,5
2014,3994.61299,1,1,2,1,3,1,2,5,2,1,4,2,3,5,1,2,1,0,0,2,3
2014,5415.43755,2,1,2,1,4,1,2,5,2,1,5,2,2,0,1,4,2,0,0,2,3
2014,46081.7954,1,1,2,1,5,1,1,1,2,1,4,2,2,0,1,4,2,0,0,2,3
2014,33793.876,1,1,2,1,2,1,88,0,3,3,3,2,1,2,1,3,1,1,1,1,4
2014,1236.7942,2,1,2,1,8,3,88,2,4,1,6,3,3,5,1,4,2,0,0,2,1
2014,2716.40009,2,1,2,1,7,1,88,0,3,2,4,2,2,0,1,4,2,0,0,2,2
2014,35353.1111,1,1,2,1,6,2,88,0,3,2,4,1,1,1,1,3,1,0,0,2,1
2014,4669.33319,2,1,2,1,5,1,7,1,4,3,1,2,2,0,1,4,2,0,0,2,2
2014,2987.82846,1,1,2,1,5,2,88,3,2,1,3,1,2,0,1,4,2,1,2,2,1
2014,1198.56033,1,1,2,1,6,4,88,1,2,3,4,1,2,0,1,4,2,0,0,2,3
2014,2095.13123,1,1,2,1,4,1,6,1,2,1,4,2,2,0,1,4,2,0,0,2,1
